Instructor,Links,2M,3M,5M,6M,7M
"Barron, Regina",https://quest.cns.utexas.edu/instructor/courses/show?course=3056194,116937,166871,110184,35528,35829
"DaCosta, Paul",https://quest.cns.utexas.edu/instructor/courses/show?course=3055914,116937,35819,92097,36063,42259
"Hammond, Mihaela",https://quest.cns.utexas.edu/instructor/courses/show?course=3063434,116937,166871,180052,35528,35829
"Harrison, Jesse",https://quest.cns.utexas.edu/instructor/courses/show?course=3054534,116937,113117,,36063,35829
"Helgeson, Chad",https://quest.cns.utexas.edu/instructor/courses/show?course=3054574,110137,40683,180051,36195,42259
"Hernandez, David",https://quest.cns.utexas.edu/instructor/courses/show?course=3056894,,,,,
"Hernandez, Frank",https://quest.cns.utexas.edu/instructor/courses/show?course=3054054,116937,35819,110184,35528,42259
"Ozgun, Mehmet",https://quest.cns.utexas.edu/instructor/courses/show?course=3054874,110137,83337,92097,35528,35829
"Pannabecker, Deborah",https://quest.cns.utexas.edu/instructor/courses/show?course=3055354,135459,40683,180052,36063,35829
"Price, Eric",https://quest.cns.utexas.edu/instructor/courses/show?course=3054494,100042,113117,180051,35528,35829
"Rilling, Paula",https://quest.cns.utexas.edu/instructor/courses/show?course=3055894,116937,113117,72736,36063,35829
"Saenz, Errek",https://quest.cns.utexas.edu/instructor/courses/show?course=3054974,110137,83337,72736,36063,35829
"Shedd, Ace",https://quest.cns.utexas.edu/instructor/courses/show?course=3055314,110137,83337,92097,36195,35829
"Sheffield, Michael",https://quest.cns.utexas.edu/instructor/courses/show?course=3054754,100042,35819,180051,36195,42259
"Sorola, Mike",https://quest.cns.utexas.edu/instructor/courses/show?course=3057054,110137,40683,180052,35528,42259
"Todoroff, Steven",https://quest.cns.utexas.edu/instructor/courses/show?course=3056214,100042,,92097,35528,42259
"Torres, Laura",https://quest.cns.utexas.edu/instructor/courses/show?course=3056774,135459,83337,92097,,42259
"Urby, Alejandro",https://quest.cns.utexas.edu/instructor/courses/show?course=3056934,110137,83337,92097,35528,35829
"Villa, Fernando",https://quest.cns.utexas.edu/instructor/courses/show?course=3054354,110137,35819,180051,35528,42259
