Instructor,Links
"Barron, Regina",https://quest.cns.utexas.edu/instructor/courses/show?course=3056194
"DaCosta, Paul",https://quest.cns.utexas.edu/instructor/courses/show?course=3055914
"Hammond, Mihaela",https://quest.cns.utexas.edu/instructor/courses/show?course=3063434
"Harrison, Jesse",https://quest.cns.utexas.edu/instructor/courses/show?course=3054534
"Helgeson, Chad",https://quest.cns.utexas.edu/instructor/courses/show?course=3054574
"Hernandez, David",https://quest.cns.utexas.edu/instructor/courses/show?course=3056894
"Hernandez, Frank",https://quest.cns.utexas.edu/instructor/courses/show?course=3054054
"Ozgun, Mehmet",https://quest.cns.utexas.edu/instructor/courses/show?course=3054874
"Pannabecker, Deborah",https://quest.cns.utexas.edu/instructor/courses/show?course=3055354
"Price, Eric",https://quest.cns.utexas.edu/instructor/courses/show?course=3054494
"Rilling, Paula",https://quest.cns.utexas.edu/instructor/courses/show?course=3055894
"Saenz, Errek",https://quest.cns.utexas.edu/instructor/courses/show?course=3054974
"Shedd, Ace",https://quest.cns.utexas.edu/instructor/courses/show?course=3055314
"Sheffield, Michael",https://quest.cns.utexas.edu/instructor/courses/show?course=3054754
"Sorola, Mike",https://quest.cns.utexas.edu/instructor/courses/show?course=3057054
"Todoroff, Steven",https://quest.cns.utexas.edu/instructor/courses/show?course=3056214
"Torres, Laura",https://quest.cns.utexas.edu/instructor/courses/show?course=3056774
"Urby, Alejandro",https://quest.cns.utexas.edu/instructor/courses/show?course=3056934
"Villa, Fernando",https://quest.cns.utexas.edu/instructor/courses/show?course=3054354
